# generated by scripts/build_synonyms.py from WordNet — do not edit by hand
word	synonym	sense_rank
aardvark	anteater	0
abandon	vacate	2
abandoned	empty	2
abandonment	desertion	0
abasement	abjection	0
abatement	reprieve	0
abbreviate	foreshorten	0
abbreviated	brief	0
abdicate	renounce	0
abdomen	stomach	0
abduct	kidnap	0
abductor	snatcher	0
abhor	loathe	0
abhorrence	execration	0
abhorring	execrate	0
abide	bide	0
abiding	enduring	0
ability	power	1
abject	scummy	0
ablaze	aflame	0
able	capable	1
ably	aptly	0
abnormal	unnatural	0
abnormality	irregularity	3
aboard	alongside	2
abode	residence	0
abolishment	abolition	0
abolition	abolishment	0
abolitionist	emancipationist	0
abominable	detestable	0
abominably	repulsively	0
abominate	execrate	0
abomination	loathing	1
aboriginal	primordial	2
abortion	miscarriage	1
abortive	stillborn	0
abound	bristle	1
abounding	bristle	1
about	some	1
above	supra	2
aboveboard	straightforward	0
abrasion	scrape	0
abrasive	scratchy	0
abrasiveness	scratchiness	0
abridge	abbreviate	0
abridgment	abridgement	0
abroad	overseas	2
abrupt	disconnected	0
abruptly	suddenly	0
abruptness	brusqueness	0
absent	wanting	1
absently	abstractedly	0
absentminded	abstracted	0
absentmindedly	inattentively	0
absolute	downright	1
absolutely	perfectly	0
absoluteness	starkness	0
absolution	remission	1
absolutism	despotism	0
absolve	shrive	0
absorb	ingest	1
absorbed	assimilate	1
absorbent	absorptive	0
absorbing	assimilate	1
absorption	assimilation	2
abstain	refrain	1
abstainer	ascetic	0
abstention	abstinence	0
abstinence	abstention	0
abstinent	abstainer	0
abstracted	absentminded	0
abstractedly	inattentively	0
abstraction	generalization	2
abstractionism	unrealism	1
absurd	idiotic	1
absurdity	silliness	1
absurdness	ridiculousness	0
abundance	copiousness	0
abundantly	profusely	0
abuse	insult	1
abuser	maltreater	0
abusive	scurrilous	0
abysmally	rottenly	0
academic	pedantic	2
accelerate	quicken	0
acceleration	quickening	1
accelerator	throttle	0
accent	emphasis	1
accentuate	emphasize	0
accentuation	emphasizing	1
accept	take	1
acceptability	acceptableness	0
acceptable	satisfactory	2
acceptableness	acceptability	0
acceptably	tolerably	0
acceptance	credence	0
accepted	consent	2
access	entree	0
accessibility	availableness	0
accessible	approachable	1
accessory	supplement	1
accident	stroke	1
accidental	inadvertent	0
accidentally	unexpectedly	0
acclaim	plaudit	0
acclamation	plaudits	0
acclimatization	acclimatisation	0
accolade	laurels	0
accommodate	adapt	1
accommodating	adapt	1
accommodatingly	obligingly	0
accommodation	adjustment	0
accommodative	cooperative	1
accommodator	obliger	0
accompaniment	concomitant	0
accompany	companion	3
accomplice	confederate	0
accomplish	execute	0
accomplishable	realizable	0
accomplished	execute	0
accomplishment	achievement	0
accord	agreement	0
accordance	conformity	0
according	agree	0
accordingly	consequently	0
accosted	solicit	1
account	history	0
accountability	answerableness	0
accountant	controller	0
accredit	recognise	0
accredited	licensed	0
