# generated by scripts/build_vocab.py — do not edit by hand
word	class	concreteness	frequency	pos
aback	abstract	1.65	15.0	Adverb
abasement	abstract	1.67	0.0	#N/A
abatement	abstract	1.92	3.0	Noun
abhor	abstract	1.81	12.0	Verb
abhorring	abstract	1.68	0.0	#N/A
abide	abstract	1.68	138.0	Verb
abidingly	abstract	1.82	0.0	#N/A
ability	abstract	1.81	980.0	Noun
abject	abstract	1.67	20.0	Adjective
ably	abstract	1.78	9.0	Adverb
abnormally	abstract	1.75	20.0	Adverb
abominable	abstract	1.89	32.0	Adjective
abominate	abstract	1.68	3.0	Verb
abortive	abstract	1.88	1.0	Adjective
abridged	abstract	1.77	9.0	Adjective
absently	abstract	1.71	0.0	#N/A
absentminded	abstract	2.00	3.0	Adjective
absolute	abstract	1.81	577.0	Adjective
absolutely	abstract	1.97	5769.0	Adverb
absolution	abstract	1.78	48.0	Noun
absolve	abstract	1.85	29.0	Verb
abstinence	abstract	1.72	45.0	Noun
abstinent	abstract	1.77	3.0	Noun
abstracted	abstract	1.48	3.0	Adjective
abstraction	abstract	1.57	15.0	Noun
abstractly	abstract	1.36	2.0	Adverb
absurd	abstract	1.64	495.0	Adjective
absurdity	abstract	1.25	32.0	Noun
absurdly	abstract	1.55	15.0	Adverb
academically	abstract	1.90	11.0	Adverb
accentuate	abstract	2.00	18.0	Verb
acceptable	abstract	1.93	269.0	Adjective
accessible	abstract	1.80	56.0	Adjective
accidentally	abstract	1.71	449.0	Adverb
accidently	abstract	1.88	11.0	Adverb
acclimate	abstract	1.79	8.0	Verb
accommodate	abstract	1.86	109.0	Verb
accommodating	abstract	1.77	36.0	Verb
accomplished	abstract	1.70	384.0	Verb
accord	abstract	1.57	83.0	Noun
accordance	abstract	1.54	81.0	Preposition
according	abstract	1.63	2135.0	Preposition
accordingly	abstract	1.58	93.0	Adverb
accountability	abstract	1.55	24.0	Noun
accountancy	abstract	1.68	3.0	Noun
accrue	abstract	1.61	4.0	Verb
accuracy	abstract	1.85	76.0	Noun
accurate	abstract	1.90	400.0	Adjective
accursed	abstract	1.93	33.0	Adjective
accusable	abstract	1.91	0.0	#N/A
accustom	abstract	1.48	6.0	Verb
acquaint	abstract	1.52	20.0	Verb
activism	abstract	1.79	9.0	Noun
actuality	abstract	1.96	24.0	Noun
actualization	abstract	1.59	3.0	Noun
actualize	abstract	1.63	2.0	Verb
actually	abstract	1.37	16439.0	Adverb
acute	abstract	1.92	150.0	Adjective
acutely	abstract	1.83	14.0	Adverb
adage	abstract	1.86	32.0	Noun
adamant	abstract	1.65	50.0	Adjective
adamantly	abstract	1.46	2.0	Adverb
adaptability	abstract	1.38	7.0	Noun
adaptable	abstract	1.85	17.0	Adjective
adaptive	abstract	1.97	11.0	Adjective
addictiveness	abstract	1.78	2.0	Noun
adeptly	abstract	1.54	0.0	#N/A
adeptness	abstract	1.89	1.0	Noun
adequacy	abstract	1.86	1.0	Noun
adequate	abstract	1.97	132.0	Adjective
adequately	abstract	1.72	27.0	Adverb
adherence	abstract	1.50	9.0	Noun
admirable	abstract	1.81	133.0	Adjective
admirably	abstract	1.50	21.0	Adverb
admiration	abstract	1.86	107.0	Noun
admired	abstract	1.84	187.0	Verb
admiring	abstract	1.77	141.0	Verb
admissibility	abstract	1.65	4.0	Noun
admissible	abstract	1.88	37.0	Adjective
admitted	abstract	1.85	467.0	Verb
admittedly	abstract	1.54	47.0	Adverb
adoptive	abstract	2.00	30.0	Adjective
adorable	abstract	1.86	537.0	Adjective
adorably	abstract	1.96	2.0	Adverb
advanced	abstract	1.83	451.0	Adjective
advantage	abstract	2.00	1125.0	Noun
adventuresome	abstract	1.79	3.0	Adjective
adventurous	abstract	1.95	62.0	Adjective
adversarial	abstract	1.62	12.0	Adjective
adversely	abstract	1.62	11.0	Adverb
adversity	abstract	1.44	54.0	Noun
advisable	abstract	1.93	40.0	Adjective
advisably	abstract	1.54	0.0	#N/A
advisedly	abstract	1.58	5.0	Adverb
advocacy	abstract	2.00	15.0	Noun
aesthetically	abstract	1.48	12.0	Adverb
affability	abstract	1.54	4.0	Noun
affable	abstract	1.70	6.0	Adjective
affect	abstract	1.93	568.0	Verb
affectation	abstract	1.96	7.0	Noun
affected	abstract	1.93	345.0	Verb
affecting	abstract	1.75	130.0	Verb
affectionately	abstract	1.92	31.0	Adverb
affective	abstract	1.52	4.0	Adjective
affiliation	abstract	1.93	25.0	Noun
affirm	abstract	1.96	17.0	Verb
affirmative	abstract	1.93	241.0	Noun
affluent	abstract	1.83	15.0	Adjective
afford	abstract	1.83	2266.0	Verb
affront	abstract	1.83	30.0	Noun
afore	abstract	1.82	19.0	Conjunction
aforementioned	abstract	1.93	24.0	Adjective
afterlife	abstract	1.90	81.0	Noun
aftermath	abstract	1.97	53.0	Noun
aftermost	abstract	1.75	0.0	#N/A
ageism	abstract	1.88	12.0	Noun
aggravating	abstract	1.86	24.0	Verb
aggravation	abstract	1.53	59.0	Noun
aggrieve	abstract	1.71	0.0	#N/A
aghast	abstract	1.96	7.0	Adjective
agnostic	abstract	2.00	19.0	Noun
ago	abstract	1.42	14592.0	Adverb
agonistic	abstract	1.78	0.0	#N/A
agonize	abstract	1.97	5.0	Verb
agonizing	abstract	2.00	36.0	Adjective
agoraphobia	abstract	1.92	7.0	Noun
agreed	abstract	1.93	1832.0	Verb
ahoy	abstract	2.00	189.0	Noun
aimless	abstract	1.57	14.0	Adjective
aimlessly	abstract	1.86	21.0	Adverb
akin	abstract	1.71	14.0	Adjective
alas	abstract	1.56	195.0	Interjection
albeit	abstract	1.46	38.0	Conjunction
alienable	abstract	1.82	0.0	#N/A
alienate	abstract	1.83	29.0	Verb
alienation	abstract	1.73	22.0	Noun
allegation	abstract	1.79	27.0	Noun
allege	abstract	1.76	11.0	Verb
alleged	abstract	1.82	203.0	Adjective
allegedly	abstract	1.64	113.0	Adverb
allegiance	abstract	1.77	159.0	Noun
allegoric	abstract	1.72	0.0	#N/A
allegorical	abstract	1.52	8.0	Adjective
allocable	abstract	1.79	0.0	#N/A
allowably	abstract	1.92	0.0	#N/A
allude	abstract	1.81	10.0	Verb
allure	abstract	1.92	30.0	Noun
allusion	abstract	1.58	6.0	Noun
almightiness	abstract	1.34	2.0	Noun
almighty	abstract	1.90	446.0	Adjective
aloneness	abstract	1.75	1.0	Noun
aloof	abstract	1.46	33.0	Adjective
aloofly	abstract	1.82	0.0	#N/A
alpha	abstract	1.81	414.0	Noun
alright	abstract	1.93	4044.0	Adverb
alternatively	abstract	1.92	5.0	Adverb
altruism	abstract	1.50	11.0	Noun
altruistic	abstract	1.96	18.0	Adjective
amateurish	abstract	1.93	19.0	Adjective
amaze	abstract	2.00	82.0	Verb
